nombre,precio,descuento,imagen,link
"Dell Vostro Sff 3681 Ci3-10100gn 4gb 1tb Monitor 18,5 Win10",2.428.428,2.428.428,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-853041800-dell-vostro-sff-3681-ci3-10100gn-4gb-1tb-monitor-185-win10-_JM#position=15&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Memoria RAM gamer color verde 16GB 1 Crucial CT16G4SFRA32A,206.900,206.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=QzQBYRzQIP1RLxtXLAjfT8MagwwQ1xMeU0E39M%2Bv2%2Bs47Hc2RDgRytrN8%2FrmyjMqmLR4whKJEKN4hljxVdv11daGfQ8u%2F42WDQcyXeGAgPVKMN39gQeHEFj28MmnzC7DXpFpvL7aFTg9%2Fs2r0ua%2BumN2gdaOXvpDRBc3umCWqkDF4jPA4ATGyNtxi07qRyx0EFwmazD0bHByaYTTfhNExPZUoXl4R%2FWU4ytYVjribNYq9EyqAmPNLEGKlVHtg7y9E7mqPWbXuq%2FDxqz0F8mBNb0q3exyXhMHmeF%2Fcy9bwOj%2B98rK9KUKnVw2DDGbYEX0teu%2B6TkmxGq0G0Md740ii0H8Ua9SDz8N2KItl6lNsYujBtMqAioRo4wzAw10ba%2FaCi4YT%2BBsQD6scCzvAuPLE%2F4eW1KU3BqVDX45aseN9uAR%2BlqRIvrEnw1ReE4%2FsQl69CDMOtT3iDmYdfv3EUgDp1j8yW0HGfNqw%2BN%2BIEphccrdcLVh7i39uVW6I97HkpKXswKgzn5yLfpPtoGL1QERRlrbslzvT8sEJIpnvghPsHbMdjhcYxQddGRNpZ228G4mTBr6KiysPCxFxw78k2VKlFVRT%2BciLy%2FV54q5EeG4%2F%2BWjm4HX5%2FZJ7otA%2FjfdFm5ffIYfzH44QTu6kVUhJqfue0%2BzRuo9radUKcM4Jf22oRSBVwdUYY8RG8nMYnckV9g7I6N7IRbq%2FDWdThje8FmoPawAGY2NYirKHxcwmru9BSjv2jH%2FiUFCjTDFVNR4rUi2%2FuoaHsOl6mv%2B36umojRKvAjnIRomhaeSKNHQukJtdqGa2gu2y%2BPCDqM%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Flax-top-domain%2B23443&rb=x
Cpu Ryzen 5 5600g 16gb Ram 3200mhz 256ssd Nvme,1.900.000,1.900.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=RtfenIOUSPIj%2BEwihNdfB4wUVDsiIG2JEO0nFnspQYHqic6pFcJNTq0fZPeHrEQXLNVLQXLzOlm2Jnnb%2BNonyTHjzUKeveEZHY7ueI2jnMttsCUOlIDc2lO8VFbvpQjpPRvgMibfrZt2IuPBB%2FlHjMXllR5OYJ8DhvFI9zVqpYtG2p2xbrpCB%2FHfB8TzHC5Z0Cq4n6bfsRgfXQpS1Jh0XTVPfIzhWp8%2ByF7nxNxqFz8TDvmItF6EFulwEUCEPj%2FPBckIdvvf2ad2clc7dqpsxPtBCkHuK7VtbCWESwktBeitaUkraYiObtDSluK%2BsYAdrriGZ2600vfLety0bjrlOZlToZYCGfNuWYpYelLx7AMII9PscDIrtdbW4vSv%2F%2Fz58WhQHmiNlLZguzYlwkVLVpH%2BbBxwICLkTdPVhdAr3OkUJQQ%2BABwFo%2FfSOCLO%2FBYe5iwHG5y%2FQKpdxcQ6QeHgO6qGLUQ0Rg9ca1%2F2%2B%2FtAGfdUD6orcOmZLOFzYUiQNJRPOk3k%2Ff8MsaCL80jZn9kET%2BSIq5jY%2BscdQaNj0AXr3K32lkZ2eCAGYqHD4bErk3ajhZss1Kb2bTfKJm7wmzQfgNyUcjFKPgxdvv7rET%2Bh%2FPSkmenUdZyihpQsV%2F%2BAuKr5jGVKFc9OS8IQAUoFo05Vv66cwYgqvwYQUk8yK1%2FkRznnqpaH6Ffm7cuTqfJeMB8z8iDHN%2FG%2B&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Flax-top-domain%2B23443&rb=x
Todo En Uno Lenovo Amd Ryzen 7 5700u Ssd 512gb + Ram 32gb,4.249.900,4.249.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1347101028-todo-en-uno-lenovo-amd-ryzen-7-5700u-ssd-512gb-ram-32gb-_JM#position=16&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Cpu Torre Pc Gamer Intel Core I5 10400 Ssd 240gb Nvidia 1030,2.479.900,2.479.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-811189134-cpu-torre-pc-gamer-intel-core-i5-10400-ssd-240gb-nvidia-1030-_JM#position=17&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Computador Gamer Asus Tuf Core I5 Ram 8gb Disco 512gb Gtx,3.649.900,3.649.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1609970172-computador-gamer-asus-tuf-core-i5-ram-8gb-disco-512gb-gtx-_JM#position=18&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
"Monitor gamer curvo Samsung C27R500FHL led 27"" dark blue gray 100V/240V",899.899,899.899,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mercadolibre.com.co/monitor-gamer-curvo-samsung-c27r500fhl-led-27-dark-blue-gray-100v240v/p/MCO17431651?pdp_filters=category:MCO1648#searchVariation=MCO17431651&position=4&search_layout=stack&type=product&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Computadora Portátil Hp Hd De 14 Pulgadas Más Nueva De 2021,1.528.990,1.528.990,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1272585543-computadora-portatil-hp-hd-de-14-pulgadas-mas-nueva-de-2021-_JM#position=21&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Torre Cpu Gamer Core I3 10100 Gpu 2g Hdmi 1tb 16gb Led 22 Pc,2.899.900,2.899.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-615728133-torre-cpu-gamer-core-i3-10100-gpu-2g-hdmi-1tb-16gb-led-22-pc-_JM#position=22&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Todo En Uno Lenovo Amd Ryzen 7 5700u Ssd512gb Ram32gb Led 24,4.379.900,4.379.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1295143523-todo-en-uno-lenovo-amd-ryzen-7-5700u-ssd512gb-ram32gb-led-24-_JM#position=23&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
